tanggal;pm25;pm10;co;o3;so2;no2
01/01/2021;10.354166666666666;23.083333333333332;2893.0833333333335;33.916666666666664;53.854166666666664;3.0833333333333335
02/01/2021;13.479166666666666;44.833333333333336;2962.0;33.895833333333336;54.166666666666664;3.0
03/01/2021;18.88474025974026;87.45833333333333;3064.125;33.6875;53.1875;2.875
04/01/2021;20.713816738816735;24.22886732062264;2126.707788933943;40.075922410436135;37.34216205611144;13.21308086180286
05/01/2021;16.747420634920633;24.013639433852195;2601.8125;29.25;83.27083333333333;3.9791666666666665
06/01/2021;10.354166666666666;22.0;2852.6666666666665;32.791666666666664;73.89583333333333;3.625
07/01/2021;8.083333333333334;17.666666666666668;2898.2291666666665;31.375;58.958333333333336;2.9791666666666665
08/01/2021;12.020833333333334;14.916666666666666;2868.7083333333335;32.229166666666664;53.8125;2.6875
09/01/2021;13.708333333333334;18.729166666666668;2893.5625;31.770833333333332;52.770833333333336;2.0
10/01/2021;15.75;24.208333333333332;3288.0833333333335;20.229166666666668;52.104166666666664;16.769115254661497
11/01/2021;13.479166666666666;29.770833333333332;3289.0;20.0;52.0;11.475886935302213
12/01/2021;18.583333333333332;44.416666666666664;3289.0;20.0;52.0;1.6666666666666667
13/01/2021;16.958333333333332;37.4375;3203.1041666666665;25.083333333333332;53.125;1.7708333333333333
14/01/2021;17.75;33.458333333333336;2865.2083333333335;34.4375;53.166666666666664;1.9375
15/01/2021;14.604166666666666;30.020833333333332;2866.7083333333335;34.708333333333336;56.416666666666664;1.9791666666666667
16/01/2021;22.145833333333332;39.1875;3023.4583333333335;35.0;55.0;2.0208333333333335
17/01/2021;18.229166666666668;34.020833333333336;2940.875;34.770833333333336;60.354166666666664;2.2916666666666665
18/01/2021;16.354166666666668;28.083333333333332;3027.2291666666665;34.9375;55.8125;2.0625
19/01/2021;13.3125;28.145833333333332;2882.2916666666665;35.083333333333336;56.916666666666664;8.790011158386518
20/01/2021;15.979166666666666;29.5;2895.3541666666665;35.083333333333336;53.125;1.8958333333333333
21/01/2021;10.375;15.145833333333334;3016.7916666666665;38.229166666666664;48.541666666666664;2.125
22/01/2021;5.6875;19.916666666666668;1539.9583333333333;40.875;26.796963900333527;3.0833333333333335
23/01/2021;6.875;31.583333333333332;1583.0208333333333;42.333333333333336;22.878531489111243;8.0
24/01/2021;14.791666666666666;27.73441289797672;1568.1875;43.5;39.525566509711595;11.520833333333334
25/01/2021;34.5625;34.26618771299622;1585.5208333333333;45.583333333333336;38.52351873651167;13.291666666666666
26/01/2021;15.458333333333334;34.26618771299622;1618.1666666666667;50.354166666666664;35.90819354522268;13.583333333333334
27/01/2021;14.916666666666666;29.308004052684897;1613.9583333333333;52.6875;34.92344761624485;13.666666666666666
28/01/2021;17.458333333333332;19.410971416290565;1613.4899782240245;50.20137022975078;33.789336864822445;13.974356567805449
29/01/2021;53.770833333333336;13.80410679745786;1541.875;52.479166666666664;37.866808907200316;14.145833333333334
30/01/2021;23.791666666666668;15.270833333333334;1521.0833333333333;47.75;25.160805375711202;14.020833333333334
31/01/2021;14.104166666666666;16.8125;1503.875;46.041666666666664;23.05487296448892;14.104166666666666
01/02/2021;27.895833333333332;17.145833333333332;1563.9791666666667;50.625;36.117372964488915;14.145833333333334
02/02/2021;15.208333333333334;15.998501350894964;1527.2708333333333;47.083333333333336;29.018785560133413;14.125
03/02/2021;18.916666666666668;22.34697276718553;1489.6458333333333;44.770833333333336;30.45628556013341;14.041666666666666
04/02/2021;10.833333333333334;13.24160679745786;1509.5524782240245;43.909703563084115;24.755579262311162;14.078523234472115
05/02/2021;14.208333333333334;18.967925838936477;1543.5625;41.958333333333336;28.056638709044535;14.0
06/02/2021;50.145833333333336;26.196942832581126;1555.1875;44.833333333333336;27.511158524622328;14.020833333333334
07/02/2021;26.448917748917747;34.26618771299622;1535.9375;40.166666666666664;31.270833333333332;14.0
08/02/2021;26.448917748917747;34.26618771299622;1508.7816448906913;39.76387022975078;25.412853148911125;14.057689901138781
09/02/2021;22.967234848484846;33.76064213564214;1568.9583333333333;46.125;39.931638709044535;14.1875
10/02/2021;17.658152958152957;23.319244880415095;1604.669036010813;49.645721378504675;35.26878556013341;14.36697274016602
11/02/2021;18.355005411255412;16.734712244020756;1518.6458333333333;50.104166666666664;23.520833333333332;14.0625
12/02/2021;25.080303030303032;32.12874758220502;1520.5;49.520833333333336;23.11737296448892;14.083333333333334
13/02/2021;26.448917748917747;34.26618771299622;1574.7708333333333;52.770833333333336;26.992090935844615;14.208333333333334
14/02/2021;26.448917748917747;34.26618771299622;1528.8541666666667;53.958333333333336;27.875;14.270833333333334
15/02/2021;23.241035353535352;28.69694283258113;1541.9899782240245;55.26387022975078;28.342726113400037;14.182689901138781
16/02/2021;17.359262265512267;13.69304557735409;1495.9583333333333;57.854166666666664;31.625;14.208333333333334
17/02/2021;21.0;20.877697952166034;1516.2916666666667;53.583333333333336;34.988559446733376;14.3125
18/02/2021;21.0;20.58048570814528;1532.5;50.541666666666664;33.51497204237787;14.354166666666666
19/02/2021;24.060371572871574;15.948591154708176;1409.7924564480488;88.15274045950156;26.443079262311162;13.34454646894423
20/02/2021;39.0625;17.0;1324.7291666666667;102.33333333333333;31.473305375711202;12.333333333333334
21/02/2021;19.854166666666668;17.0;1308.7708333333333;95.875;24.104166666666668;12.375
22/02/2021;26.75;17.0;1334.8125;95.89583333333333;41.083333333333336;12.229166666666666
23/02/2021;26.035281385281383;17.0;1351.6875;84.5625;41.5;11.916666666666666
