tanggal;pm10;pm25;co;o3;so2;no2
01/01/2021;23.083333333333332;10.354166666666666;2893.0833333333335;33.916666666666664;53.854166666666664;3.0833333333333335
02/01/2021;44.833333333333336;13.479166666666666;2962.0;33.895833333333336;54.166666666666664;3.0
03/01/2021;87.45833333333333;12.301546487439644;3064.125;33.6875;53.1875;2.875
04/01/2021;31.100861389116574;11.915951787786796;2513.695596334997;30.25188355733339;32.75351160846454;8.870422647316397
05/01/2021;7.873082988354985;8.878579709532541;2601.8125;29.25;83.27083333333333;3.9791666666666665
06/01/2021;22.0;10.354166666666666;2852.6666666666665;32.791666666666664;73.89583333333333;3.625
07/01/2021;17.666666666666668;8.083333333333334;2898.2291666666665;31.375;58.958333333333336;2.9791666666666665
08/01/2021;14.916666666666666;12.020833333333334;2868.7083333333335;32.229166666666664;53.8125;2.6875
09/01/2021;18.729166666666668;13.708333333333334;2893.5625;31.770833333333332;52.770833333333336;2.0
10/01/2021;24.208333333333332;15.75;3288.0833333333335;20.229166666666668;52.104166666666664;2.1724921770309162
11/01/2021;29.770833333333332;13.479166666666666;3289.0;20.0;52.0;0.6814357972477013
12/01/2021;44.416666666666664;18.583333333333332;3289.0;20.0;52.0;1.6666666666666667
13/01/2021;37.4375;16.958333333333332;3203.1041666666665;25.083333333333332;53.125;1.7708333333333333
14/01/2021;33.458333333333336;17.75;2865.2083333333335;34.4375;53.166666666666664;1.9375
15/01/2021;30.020833333333332;14.604166666666666;2866.7083333333335;34.708333333333336;56.416666666666664;1.9791666666666667
16/01/2021;39.1875;22.145833333333332;3023.4583333333335;35.0;55.0;2.0208333333333335
17/01/2021;34.020833333333336;18.229166666666668;2940.875;34.770833333333336;60.354166666666664;2.2916666666666665
18/01/2021;28.083333333333332;16.354166666666668;3027.2291666666665;34.9375;55.8125;2.0625
19/01/2021;28.145833333333332;13.3125;2882.2916666666665;35.083333333333336;56.916666666666664;1.7847013263415519
20/01/2021;29.5;15.979166666666666;2895.3541666666665;35.083333333333336;53.125;1.8958333333333333
21/01/2021;15.145833333333334;10.375;3016.7916666666665;38.229166666666664;48.541666666666664;2.125
22/01/2021;19.916666666666668;5.6875;1539.9583333333333;40.875;16.38988639084153;3.0833333333333335
23/01/2021;31.583333333333332;6.875;1583.0208333333333;42.333333333333336;16.33393091991613;8.0
24/01/2021;26.4625071251789;14.791666666666666;1568.1875;43.5;17.45508698844823;11.520833333333334
25/01/2021;4.345448910210275;34.5625;1585.5208333333333;45.583333333333336;9.762719463354745;13.291666666666666
26/01/2021;-1.1415692141932543;15.458333333333334;1618.1666666666667;50.354166666666664;12.554516742954831;13.583333333333334
27/01/2021;5.391046604099041;14.916666666666666;1613.9583333333333;52.6875;15.07580160423934;13.666666666666666
28/01/2021;11.29481177214087;17.458333333333332;1609.6145859985809;50.06398810227839;25.865579513706262;13.909722220980713
29/01/2021;10.434375193264977;53.770833333333336;1541.875;52.479166666666664;28.12848358370194;14.145833333333334
30/01/2021;15.270833333333334;23.791666666666668;1521.0833333333333;47.75;20.760913854104896;14.020833333333334
31/01/2021;16.8125;14.104166666666666;1503.875;46.041666666666664;25.002976273507993;14.104166666666666
01/02/2021;17.145833333333332;27.895833333333332;1563.9791666666667;50.625;37.002976271509546;14.145833333333334
02/02/2021;10.428174786781794;15.208333333333334;1527.2708333333333;47.083333333333336;26.012897381746203;14.125
03/02/2021;9.122918395693057;18.916666666666668;1489.6458333333333;44.770833333333336;26.810516225813057;14.041666666666666
04/02/2021;9.5250002899352;10.833333333333334;1498.7609144756977;43.77579364471447;24.451885068685257;14.016865063569776
05/02/2021;11.800001462081733;14.208333333333334;1543.5625;41.958333333333336;27.434524195686848;14.0
06/02/2021;15.092156281748279;50.145833333333336;1555.1875;44.833333333333336;35.28968298145537;14.020833333333334
07/02/2021;9.417641339285202;81.53159213060309;1535.9375;40.166666666666664;31.270833333333332;14.0
08/02/2021;9.57097701544219;52.82278238695326;1494.8665678361583;39.30199035417877;24.909722247656788;13.988095231601998
09/02/2021;12.056379409719279;33.32959448870768;1568.9583333333333;46.125;46.51066473308348;14.1875
10/02/2021;14.692846354820892;16.11061508384572;1521.701919895005;49.46428832835181;34.05456337849254;14.018849021345078
11/02/2021;16.16666666602433;16.032489799773938;1518.6458333333333;50.104166666666664;23.520833333333332;14.0625
12/02/2021;12.783655599237383;15.296644023976185;1520.5;49.520833333333336;21.853794829765295;14.083333333333334
13/02/2021;11.928537638958995;9.391136833622939;1574.7708333333333;52.770833333333336;19.23301224196922;14.208333333333334
14/02/2021;15.19325500294147;16.002683594351804;1528.8541666666667;53.958333333333336;27.875;14.270833333333334
15/02/2021;17.211330313815527;13.241216099097384;1531.2326378012933;56.18154764873683;28.806547936921334;14.162698394497289
16/02/2021;13.141782375526375;15.738728626650563;1495.9583333333333;57.854166666666664;31.625;14.208333333333334
17/02/2021;16.76818147070818;21.0;1516.2916666666667;53.583333333333336;34.463666885622686;14.3125
18/02/2021;17.00265099850507;21.0;1532.5;50.541666666666664;31.12413610317868;14.354166666666666
19/02/2021;15.229166650075252;23.998015768105745;1393.7767922487772;91.08928556901145;24.840278535222357;13.269841194627299
20/02/2021;17.0;39.0625;1324.7291666666667;102.33333333333333;28.05555924583992;12.333333333333334
21/02/2021;17.0;19.854166666666668;1308.7708333333333;95.875;24.104166666666668;12.375
22/02/2021;17.0;26.75;1334.8125;95.89583333333333;41.083333333333336;12.229166666666666
23/02/2021;17.0;24.089582488488457;1351.6875;84.5625;41.5;11.916666666666666
